freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.333e+02,1.619e+01,7.977e+00,2.575e+02
1.5,1.463e+02,3.653e+01,3.171e+01,2.145e+02
3.1,3.422e+01,3.913e+01,3.905e+01,1.124e+02
4.6,3.458e+02,3.953e+01,6.100e+01,4.464e+02
6.1,1.200e+03,3.287e+01,8.838e+01,1.321e+03
7.7,1.921e+03,3.442e+01,6.993e+01,2.025e+03
9.2,2.817e+03,3.544e+01,4.346e+01,2.896e+03
10.7,3.966e+03,3.875e+01,3.647e+01,4.041e+03
12.3,5.435e+03,3.803e+01,3.750e+01,5.511e+03
13.8,7.276e+03,3.665e+01,4.065e+01,7.353e+03
15.3,9.762e+03,3.838e+01,4.946e+01,9.850e+03
16.9,1.287e+04,4.431e+01,7.534e+01,1.299e+04
18.4,1.471e+04,5.127e+01,1.664e+02,1.492e+04
19.9,1.222e+04,6.040e+01,2.776e+02,1.256e+04
21.5,9.699e+03,6.951e+01,3.675e+02,1.014e+04
23.0,1.026e+04,8.915e+01,4.248e+02,1.078e+04
24.5,1.257e+04,1.649e+02,4.287e+02,1.317e+04
26.1,1.585e+04,3.702e+02,2.953e+02,1.652e+04
27.6,2.009e+04,6.136e+02,1.947e+02,2.090e+04
29.2,2.289e+04,4.152e+02,2.478e+02,2.355e+04
30.7,2.490e+04,1.307e+02,2.010e+02,2.523e+04
32.2,2.863e+04,6.207e+01,1.350e+02,2.883e+04
33.8,3.460e+04,8.563e+01,9.345e+01,3.478e+04
35.3,4.068e+04,1.744e+02,5.710e+01,4.092e+04
36.8,4.450e+04,3.141e+02,5.400e+01,4.487e+04
38.4,4.650e+04,4.389e+02,7.703e+01,4.702e+04
39.9,4.908e+04,5.305e+02,9.000e+01,4.970e+04
41.4,5.334e+04,8.723e+02,1.224e+02,5.434e+04
43.0,5.638e+04,1.503e+03,1.673e+02,5.805e+04
44.5,5.816e+04,3.236e+03,3.705e+02,6.177e+04
46.0,6.240e+04,7.070e+03,8.309e+02,7.030e+04
47.6,6.700e+04,1.141e+04,1.219e+03,7.963e+04
49.1,7.007e+04,1.276e+04,1.167e+03,8.400e+04
50.6,7.384e+04,1.006e+04,7.510e+02,8.465e+04
52.2,8.140e+04,6.751e+03,4.220e+02,8.857e+04
53.7,8.889e+04,4.447e+03,2.358e+02,9.358e+04
55.2,1.032e+05,3.022e+03,1.416e+02,1.064e+05
56.8,1.117e+05,2.716e+03,1.812e+02,1.146e+05
58.3,1.164e+05,2.729e+03,2.730e+02,1.194e+05
59.8,1.311e+05,2.211e+03,3.196e+02,1.336e+05
61.4,1.315e+05,1.844e+03,3.236e+02,1.337e+05
62.9,1.283e+05,1.728e+03,3.496e+02,1.303e+05
64.4,1.302e+05,1.882e+03,6.030e+02,1.327e+05
66.0,1.199e+05,1.985e+03,8.413e+02,1.227e+05
67.5,9.630e+04,2.086e+03,9.621e+02,9.935e+04
69.0,9.430e+04,3.379e+03,1.798e+03,9.948e+04
70.6,1.160e+05,6.636e+03,3.486e+03,1.262e+05
72.1,1.541e+05,1.259e+04,5.860e+03,1.725e+05
73.6,1.949e+05,2.076e+04,7.859e+03,2.235e+05
75.2,2.269e+05,2.910e+04,8.855e+03,2.648e+05
76.7,2.457e+05,3.564e+04,8.376e+03,2.897e+05
78.3,2.550e+05,4.050e+04,6.633e+03,3.022e+05
79.8,2.561e+05,4.386e+04,4.602e+03,3.046e+05
81.3,2.517e+05,4.763e+04,3.023e+03,3.023e+05
82.9,2.378e+05,5.130e+04,2.020e+03,2.911e+05
84.4,2.246e+05,5.094e+04,1.413e+03,2.770e+05
85.9,2.083e+05,4.519e+04,1.016e+03,2.545e+05
87.5,1.891e+05,3.827e+04,7.681e+02,2.281e+05
89.0,1.626e+05,3.084e+04,7.506e+02,1.941e+05
90.5,1.344e+05,2.398e+04,8.314e+02,1.592e+05
92.1,1.129e+05,1.837e+04,9.742e+02,1.322e+05
93.6,1.088e+05,1.470e+04,1.150e+03,1.247e+05
95.1,1.225e+05,1.349e+04,1.244e+03,1.372e+05
96.7,1.501e+05,1.471e+04,1.302e+03,1.662e+05
98.2,1.884e+05,1.787e+04,1.455e+03,2.077e+05
99.7,2.293e+05,2.194e+04,1.757e+03,2.530e+05
101.3,2.734e+05,2.584e+04,2.381e+03,3.016e+05
102.8,3.281e+05,2.524e+04,2.559e+03,3.559e+05
104.3,3.854e+05,2.304e+04,1.763e+03,4.102e+05
105.9,4.580e+05,2.273e+04,1.047e+03,4.817e+05
107.4,5.530e+05,2.560e+04,5.408e+02,5.791e+05
108.9,6.394e+05,2.230e+04,5.650e+02,6.623e+05
110.5,7.153e+05,1.625e+04,6.222e+02,7.322e+05
112.0,8.219e+05,1.236e+04,8.590e+02,8.351e+05
113.5,9.327e+05,1.074e+04,1.536e+03,9.450e+05
115.1,1.018e+06,1.088e+04,1.908e+03,1.031e+06
116.6,1.031e+06,1.154e+04,1.686e+03,1.045e+06
118.1,1.004e+06,1.316e+04,2.362e+03,1.019e+06
119.7,1.037e+06,1.372e+04,2.952e+03,1.053e+06
121.2,1.116e+06,1.227e+04,2.376e+03,1.131e+06
122.7,9.419e+05,9.013e+03,1.375e+03,9.522e+05
124.3,7.241e+05,6.640e+03,1.067e+03,7.318e+05
125.8,6.574e+05,5.009e+03,8.522e+02,6.633e+05
127.3,6.003e+05,4.066e+03,1.037e+03,6.054e+05
128.9,5.603e+05,4.183e+03,1.327e+03,5.658e+05
130.4,5.325e+05,4.566e+03,1.550e+03,5.386e+05
132.0,4.349e+05,4.422e+03,1.657e+03,4.409e+05
133.5,1.410e+05,1.675e+03,7.639e+02,1.434e+05
135.0,2.364e+04,4.357e+02,2.517e+02,2.433e+04
136.6,2.141e+04,4.311e+02,1.962e+02,2.204e+04
138.1,1.930e+04,4.643e+02,1.978e+02,1.997e+04
139.6,1.708e+04,4.522e+02,1.865e+02,1.772e+04
141.2,1.568e+04,4.801e+02,1.813e+02,1.634e+04
142.7,1.467e+04,5.478e+02,1.874e+02,1.540e+04
144.2,1.407e+04,6.067e+02,1.918e+02,1.487e+04
145.8,1.375e+04,6.558e+02,1.885e+02,1.459e+04
147.3,1.443e+04,7.397e+02,1.794e+02,1.534e+04
148.8,1.809e+04,8.878e+02,1.762e+02,1.915e+04
150.4,2.055e+04,1.068e+03,2.052e+02,2.183e+04
151.9,1.940e+04,1.046e+03,2.114e+02,2.065e+04
153.4,1.790e+04,9.834e+02,1.845e+02,1.907e+04
155.0,1.667e+04,1.027e+03,1.816e+02,1.787e+04
156.5,1.577e+04,1.052e+03,1.853e+02,1.701e+04
158.0,1.451e+04,1.019e+03,1.678e+02,1.570e+04
159.6,1.345e+04,8.817e+02,1.331e+02,1.447e+04
161.1,1.241e+04,7.464e+02,1.136e+02,1.327e+04
162.6,1.206e+04,7.446e+02,1.137e+02,1.292e+04
164.2,1.306e+04,7.849e+02,1.360e+02,1.398e+04
165.7,1.360e+04,7.023e+02,1.170e+02,1.442e+04
167.2,1.497e+04,6.511e+02,9.357e+01,1.571e+04
168.8,1.667e+04,5.899e+02,9.141e+01,1.735e+04
170.3,2.009e+04,5.593e+02,9.808e+01,2.075e+04
171.8,2.740e+04,5.185e+02,9.886e+01,2.802e+04
