freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.271e+01,4.010e+01,4.271e+02,4.799e+02
1.5,3.491e+01,1.165e+02,5.242e+02,6.757e+02
3.1,3.248e+01,1.249e+02,3.410e+02,4.984e+02
4.6,3.180e+01,1.290e+02,5.960e+02,7.568e+02
6.1,3.581e+01,1.289e+02,1.444e+03,1.609e+03
7.7,3.462e+01,1.203e+02,2.190e+03,2.345e+03
9.2,3.324e+01,1.255e+02,3.064e+03,3.223e+03
10.7,3.292e+01,1.380e+02,4.144e+03,4.315e+03
12.2,3.359e+01,1.445e+02,5.431e+03,5.609e+03
13.8,3.653e+01,1.456e+02,7.013e+03,7.195e+03
15.3,3.562e+01,1.348e+02,9.139e+03,9.310e+03
16.8,3.630e+01,1.269e+02,1.205e+04,1.221e+04
18.4,3.815e+01,1.425e+02,1.573e+04,1.591e+04
19.9,4.696e+01,1.459e+02,1.839e+04,1.858e+04
21.4,5.798e+01,1.560e+02,1.706e+04,1.728e+04
23.0,5.598e+01,1.529e+02,1.371e+04,1.392e+04
24.5,5.072e+01,1.473e+02,1.260e+04,1.280e+04
26.0,4.998e+01,1.610e+02,1.357e+04,1.378e+04
27.5,4.667e+01,1.849e+02,1.529e+04,1.552e+04
29.1,3.985e+01,1.670e+02,1.792e+04,1.812e+04
30.6,3.829e+01,1.530e+02,2.143e+04,2.162e+04
32.1,3.860e+01,1.686e+02,2.578e+04,2.598e+04
33.7,4.369e+01,2.127e+02,3.092e+04,3.118e+04
35.2,5.042e+01,2.417e+02,3.579e+04,3.608e+04
36.7,5.175e+01,2.250e+02,4.088e+04,4.116e+04
38.3,4.457e+01,2.549e+02,4.636e+04,4.666e+04
39.8,4.697e+01,3.120e+02,5.242e+04,5.278e+04
41.3,5.172e+01,4.775e+02,5.863e+04,5.916e+04
42.8,5.876e+01,9.017e+02,6.389e+04,6.485e+04
44.4,8.021e+01,2.266e+03,6.817e+04,7.051e+04
45.9,9.970e+01,4.281e+03,7.087e+04,7.525e+04
47.4,1.017e+02,5.263e+03,7.378e+04,7.915e+04
49.0,8.912e+01,4.838e+03,7.739e+04,8.232e+04
50.5,7.655e+01,3.995e+03,8.444e+04,8.851e+04
52.0,7.541e+01,3.027e+03,9.504e+04,9.814e+04
53.6,1.013e+02,2.194e+03,1.110e+05,1.133e+05
55.1,1.355e+02,1.567e+03,1.285e+05,1.302e+05
56.6,1.853e+02,1.244e+03,1.503e+05,1.518e+05
58.1,2.756e+02,1.577e+03,1.775e+05,1.794e+05
59.7,3.687e+02,3.335e+03,2.054e+05,2.091e+05
61.2,5.027e+02,8.046e+03,2.392e+05,2.477e+05
62.7,6.875e+02,1.703e+04,2.812e+05,2.990e+05
64.3,1.108e+03,3.106e+04,3.241e+05,3.563e+05
65.8,1.768e+03,5.015e+04,3.740e+05,4.260e+05
67.3,2.245e+03,7.027e+04,4.381e+05,5.106e+05
68.9,2.445e+03,8.989e+04,5.219e+05,6.143e+05
70.4,2.671e+03,1.097e+05,6.129e+05,7.253e+05
71.9,2.997e+03,1.296e+05,7.161e+05,8.486e+05
73.4,3.215e+03,1.457e+05,8.302e+05,9.791e+05
75.0,3.117e+03,1.512e+05,9.140e+05,1.068e+06
76.5,3.228e+03,1.420e+05,9.624e+05,1.108e+06
78.0,3.681e+03,1.255e+05,9.836e+05,1.113e+06
79.6,5.565e+03,1.178e+05,1.016e+06,1.140e+06
81.1,9.387e+03,1.139e+05,1.021e+06,1.144e+06
82.6,1.328e+04,1.049e+05,9.602e+05,1.078e+06
84.2,1.611e+04,9.167e+04,8.502e+05,9.580e+05
85.7,1.798e+04,7.824e+04,7.232e+05,8.194e+05
87.2,1.864e+04,6.592e+04,5.733e+05,6.579e+05
88.7,1.861e+04,5.659e+04,4.331e+05,5.083e+05
90.3,1.624e+04,4.448e+04,3.220e+05,3.827e+05
91.8,1.658e+04,3.739e+04,2.565e+05,3.105e+05
93.3,2.066e+04,3.741e+04,2.419e+05,3.000e+05
94.9,2.968e+04,4.230e+04,3.031e+05,3.751e+05
96.4,3.807e+04,4.222e+04,4.799e+05,5.602e+05
97.9,3.947e+04,3.377e+04,6.635e+05,7.367e+05
99.5,3.876e+04,2.813e+04,7.050e+05,7.719e+05
101.0,3.844e+04,2.366e+04,6.800e+05,7.421e+05
102.5,3.941e+04,1.769e+04,6.858e+05,7.429e+05
104.0,3.699e+04,1.234e+04,6.194e+05,6.687e+05
105.6,3.414e+04,9.296e+03,4.952e+05,5.386e+05
107.1,3.221e+04,7.208e+03,3.960e+05,4.354e+05
108.6,3.020e+04,5.720e+03,3.288e+05,3.647e+05
110.2,2.886e+04,4.863e+03,2.840e+05,3.177e+05
111.7,2.746e+04,4.590e+03,2.757e+05,3.077e+05
113.2,2.584e+04,4.317e+03,2.697e+05,2.999e+05
114.8,2.510e+04,3.854e+03,2.710e+05,3.000e+05
116.3,2.351e+04,3.118e+03,3.025e+05,3.292e+05
117.8,2.157e+04,2.580e+03,3.587e+05,3.828e+05
119.3,2.033e+04,2.959e+03,4.423e+05,4.656e+05
120.9,1.946e+04,4.031e+03,5.567e+05,5.802e+05
122.4,1.889e+04,6.504e+03,7.163e+05,7.417e+05
123.9,1.900e+04,1.122e+04,9.131e+05,9.433e+05
125.5,1.951e+04,1.815e+04,1.152e+06,1.190e+06
127.0,2.045e+04,2.565e+04,1.417e+06,1.463e+06
128.5,2.041e+04,3.405e+04,1.689e+06,1.743e+06
130.1,1.831e+04,3.791e+04,1.920e+06,1.976e+06
131.6,1.454e+04,3.629e+04,1.961e+06,2.012e+06
133.1,6.419e+03,1.748e+04,9.596e+05,9.835e+05
134.6,1.705e+03,4.098e+03,1.624e+05,1.682e+05
136.2,1.649e+03,4.473e+03,1.254e+05,1.315e+05
137.7,1.781e+03,5.576e+03,1.264e+05,1.338e+05
139.2,1.889e+03,6.695e+03,1.234e+05,1.320e+05
140.8,1.929e+03,7.700e+03,1.211e+05,1.307e+05
142.3,2.012e+03,8.625e+03,1.212e+05,1.319e+05
143.8,2.249e+03,9.571e+03,1.319e+05,1.437e+05
145.4,2.225e+03,9.592e+03,1.426e+05,1.544e+05
146.9,1.979e+03,8.754e+03,1.487e+05,1.594e+05
