freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.668e+01,3.709e+02,2.909e+02,6.884e+02
1.5,2.959e+01,2.771e+02,1.884e+02,4.951e+02
3.1,2.225e+01,1.034e+02,4.777e+01,1.735e+02
4.6,2.541e+01,9.954e+01,4.025e+02,5.275e+02
6.1,4.265e+01,1.056e+02,1.361e+03,1.509e+03
7.7,4.702e+01,1.065e+02,1.853e+03,2.007e+03
9.2,3.608e+01,1.082e+02,2.625e+03,2.770e+03
10.7,3.699e+01,1.147e+02,3.792e+03,3.943e+03
12.3,4.315e+01,1.235e+02,5.262e+03,5.429e+03
13.8,6.298e+01,1.290e+02,7.118e+03,7.310e+03
15.4,1.012e+02,1.317e+02,9.578e+03,9.811e+03
16.9,1.896e+02,1.711e+02,1.259e+04,1.295e+04
18.4,3.884e+02,1.980e+02,1.593e+04,1.651e+04
20.0,5.611e+02,3.384e+02,1.970e+04,2.060e+04
21.5,5.030e+02,7.563e+02,2.578e+04,2.704e+04
23.0,3.862e+02,1.600e+03,3.372e+04,3.571e+04
24.6,3.134e+02,2.823e+03,3.566e+04,3.879e+04
26.1,1.936e+02,3.393e+03,2.694e+04,3.053e+04
27.6,1.408e+02,2.474e+03,1.841e+04,2.102e+04
29.2,2.504e+02,8.250e+02,1.645e+04,1.753e+04
30.7,2.765e+02,2.815e+02,1.695e+04,1.751e+04
32.2,2.653e+02,4.711e+02,1.939e+04,2.013e+04
33.8,2.809e+02,9.139e+02,2.359e+04,2.479e+04
35.3,3.137e+02,1.712e+03,2.903e+04,3.106e+04
36.9,3.544e+02,3.267e+03,3.603e+04,3.965e+04
38.4,3.005e+02,6.188e+03,4.429e+04,5.078e+04
39.9,1.946e+02,1.310e+04,5.515e+04,6.844e+04
41.5,1.745e+02,3.315e+04,7.574e+04,1.091e+05
43.0,2.649e+02,6.817e+04,9.226e+04,1.607e+05
44.5,2.640e+02,8.331e+04,8.261e+04,1.662e+05
46.1,1.450e+02,9.137e+04,7.679e+04,1.683e+05
47.6,8.727e+01,1.027e+05,7.679e+04,1.796e+05
49.1,9.230e+01,1.058e+05,7.418e+04,1.801e+05
50.7,1.170e+02,9.731e+04,7.608e+04,1.735e+05
52.2,1.927e+02,8.694e+04,9.074e+04,1.779e+05
53.7,3.701e+02,7.868e+04,1.179e+05,1.970e+05
55.3,4.411e+02,7.413e+04,1.594e+05,2.339e+05
56.8,4.194e+02,6.961e+04,2.043e+05,2.743e+05
58.4,4.689e+02,7.442e+04,2.653e+05,3.402e+05
59.9,6.488e+02,1.307e+05,3.439e+05,4.752e+05
61.4,6.162e+02,2.689e+05,3.804e+05,6.499e+05
63.0,5.755e+02,4.224e+05,3.860e+05,8.090e+05
64.5,7.292e+02,5.454e+05,4.063e+05,9.524e+05
66.0,6.021e+02,6.832e+05,4.488e+05,1.133e+06
67.6,4.561e+02,8.165e+05,4.922e+05,1.309e+06
69.1,7.909e+02,9.929e+05,5.511e+05,1.545e+06
70.6,1.016e+03,1.225e+06,6.396e+05,1.866e+06
72.2,1.628e+03,1.533e+06,7.968e+05,2.332e+06
73.7,3.396e+03,1.616e+06,7.878e+05,2.407e+06
75.2,9.223e+03,1.512e+06,6.752e+05,2.196e+06
76.8,1.788e+04,1.404e+06,5.905e+05,2.012e+06
78.3,2.684e+04,1.314e+06,5.365e+05,1.877e+06
79.9,3.544e+04,1.211e+06,4.989e+05,1.745e+06
81.4,4.054e+04,1.112e+06,4.597e+05,1.612e+06
82.9,4.023e+04,9.926e+05,4.056e+05,1.438e+06
84.5,4.479e+04,8.983e+05,3.756e+05,1.319e+06
86.0,5.404e+04,8.244e+05,3.659e+05,1.244e+06
87.5,6.045e+04,7.482e+05,3.472e+05,1.156e+06
89.1,6.129e+04,6.735e+05,3.169e+05,1.052e+06
90.6,6.015e+04,6.006e+05,2.841e+05,9.448e+05
92.1,5.841e+04,5.313e+05,2.484e+05,8.381e+05
93.7,5.218e+04,4.626e+05,2.182e+05,7.330e+05
95.2,3.987e+04,3.904e+05,1.942e+05,6.244e+05
96.7,3.297e+04,3.249e+05,1.756e+05,5.334e+05
98.3,3.847e+04,2.692e+05,1.584e+05,4.661e+05
99.8,5.456e+04,2.239e+05,1.402e+05,4.187e+05
101.4,7.608e+04,1.931e+05,1.239e+05,3.931e+05
102.9,7.783e+04,1.874e+05,1.192e+05,3.844e+05
104.4,7.062e+04,1.702e+05,1.117e+05,3.525e+05
106.0,1.101e+05,1.428e+05,9.224e+04,3.452e+05
107.5,1.777e+05,1.348e+05,7.931e+04,3.917e+05
109.0,1.904e+05,1.355e+05,7.885e+04,4.047e+05
110.6,1.551e+05,1.316e+05,8.388e+04,3.706e+05
112.1,1.198e+05,1.216e+05,8.648e+04,3.279e+05
113.6,1.035e+05,1.131e+05,8.842e+04,3.051e+05
115.2,8.154e+04,1.065e+05,9.209e+04,2.802e+05
116.7,8.256e+04,9.771e+04,8.974e+04,2.700e+05
118.2,8.283e+04,9.473e+04,9.185e+04,2.694e+05
119.8,7.379e+04,9.527e+04,9.657e+04,2.656e+05
121.3,5.254e+04,9.907e+04,1.073e+05,2.589e+05
122.8,4.826e+04,9.768e+04,1.120e+05,2.579e+05
124.4,4.760e+04,9.143e+04,1.085e+05,2.476e+05
125.9,2.314e+04,7.715e+04,9.358e+04,1.939e+05
127.5,1.251e+04,6.663e+04,8.308e+04,1.622e+05
129.0,8.180e+03,6.022e+04,7.980e+04,1.482e+05
130.5,8.611e+03,5.616e+04,8.143e+04,1.462e+05
132.1,1.045e+04,4.879e+04,7.605e+04,1.353e+05
133.6,8.016e+03,1.804e+04,2.747e+04,5.353e+04
135.1,6.721e+03,3.067e+03,3.265e+03,1.305e+04
136.7,7.625e+03,2.869e+03,2.634e+03,1.313e+04
138.2,1.010e+04,3.283e+03,2.545e+03,1.592e+04
139.7,1.400e+04,3.658e+03,2.521e+03,2.018e+04
141.3,1.283e+04,4.817e+03,2.223e+03,1.987e+04
142.8,6.694e+03,7.018e+03,2.059e+03,1.577e+04
144.3,5.541e+03,8.254e+03,2.145e+03,1.594e+04
145.9,4.474e+03,8.491e+03,2.196e+03,1.516e+04
147.4,3.557e+03,8.421e+03,2.191e+03,1.417e+04
149.0,3.168e+03,7.957e+03,2.406e+03,1.353e+04
150.5,2.792e+03,7.096e+03,2.594e+03,1.248e+04
152.0,2.989e+03,6.319e+03,2.518e+03,1.183e+04
153.6,2.893e+03,5.288e+03,2.477e+03,1.066e+04
155.1,2.721e+03,4.555e+03,2.405e+03,9.681e+03
156.6,3.055e+03,3.859e+03,2.272e+03,9.186e+03
158.2,3.222e+03,3.343e+03,2.152e+03,8.718e+03
159.7,3.245e+03,2.920e+03,2.010e+03,8.175e+03
161.2,3.469e+03,2.632e+03,1.848e+03,7.949e+03
162.8,3.543e+03,2.434e+03,1.718e+03,7.695e+03
164.3,2.920e+03,2.173e+03,1.713e+03,6.806e+03
165.8,2.438e+03,1.951e+03,1.677e+03,6.066e+03
167.4,2.686e+03,1.926e+03,1.704e+03,6.316e+03
168.9,3.056e+03,1.934e+03,1.773e+03,6.762e+03
170.5,3.424e+03,2.161e+03,2.017e+03,7.602e+03
