freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.589e+02,5.239e+02,3.900e+01,1.222e+03
1.5,3.917e+02,9.135e+02,9.127e+01,1.396e+03
3.1,4.428e+01,7.548e+02,8.747e+01,8.865e+02
4.6,3.433e+02,6.956e+02,7.494e+01,1.114e+03
6.1,1.238e+03,6.633e+02,8.497e+01,1.986e+03
7.7,2.104e+03,7.868e+02,9.204e+01,2.983e+03
9.2,3.015e+03,8.215e+02,8.328e+01,3.920e+03
10.7,4.242e+03,6.880e+02,8.081e+01,5.011e+03
12.2,5.862e+03,8.241e+02,9.419e+01,6.780e+03
13.8,7.865e+03,7.516e+02,9.551e+01,8.713e+03
15.3,1.048e+04,6.235e+02,7.891e+01,1.118e+04
16.8,1.373e+04,7.503e+02,7.383e+01,1.456e+04
18.4,1.811e+04,8.657e+02,8.702e+01,1.906e+04
19.9,2.333e+04,1.044e+03,1.310e+02,2.451e+04
21.4,2.584e+04,1.356e+03,1.956e+02,2.739e+04
23.0,2.206e+04,1.361e+03,2.153e+02,2.363e+04
24.5,1.568e+04,1.272e+03,2.007e+02,1.716e+04
26.0,1.247e+04,1.076e+03,1.843e+02,1.373e+04
27.6,1.233e+04,9.274e+02,1.410e+02,1.340e+04
29.1,1.384e+04,8.709e+02,1.353e+02,1.484e+04
30.6,1.608e+04,1.035e+03,1.555e+02,1.727e+04
32.2,1.871e+04,1.380e+03,1.547e+02,2.024e+04
33.7,2.166e+04,2.197e+03,1.449e+02,2.400e+04
35.2,2.480e+04,3.902e+03,1.592e+02,2.887e+04
36.7,2.820e+04,7.954e+03,1.822e+02,3.633e+04
38.3,3.123e+04,1.974e+04,1.901e+02,5.116e+04
39.8,3.399e+04,4.848e+04,2.070e+02,8.268e+04
41.3,4.062e+04,9.659e+04,2.232e+02,1.374e+05
42.9,4.983e+04,1.457e+05,2.419e+02,1.957e+05
44.4,6.019e+04,1.708e+05,3.839e+02,2.314e+05
45.9,7.640e+04,1.777e+05,6.237e+02,2.547e+05
47.5,9.422e+04,1.701e+05,9.454e+02,2.653e+05
49.0,1.073e+05,1.517e+05,1.234e+03,2.603e+05
50.5,1.191e+05,1.328e+05,1.351e+03,2.533e+05
52.1,1.378e+05,1.207e+05,1.506e+03,2.600e+05
53.6,1.614e+05,1.129e+05,1.698e+03,2.759e+05
55.1,1.878e+05,1.065e+05,1.892e+03,2.962e+05
56.7,2.130e+05,1.002e+05,2.048e+03,3.152e+05
58.2,2.390e+05,9.503e+04,2.165e+03,3.362e+05
59.7,2.886e+05,9.924e+04,2.326e+03,3.901e+05
61.2,3.537e+05,1.120e+05,2.503e+03,4.682e+05
62.8,4.326e+05,1.418e+05,2.815e+03,5.773e+05
64.3,5.290e+05,2.018e+05,3.042e+03,7.338e+05
65.8,6.466e+05,2.901e+05,3.357e+03,9.400e+05
67.4,7.646e+05,3.711e+05,3.906e+03,1.140e+06
68.9,9.461e+05,4.686e+05,5.516e+03,1.420e+06
70.4,1.259e+06,6.446e+05,8.888e+03,1.913e+06
72.0,1.670e+06,8.864e+05,1.403e+04,2.570e+06
73.5,2.135e+06,1.158e+06,2.382e+04,3.316e+06
75.0,2.653e+06,1.483e+06,3.955e+04,4.176e+06
76.6,3.122e+06,1.738e+06,5.686e+04,4.916e+06
78.1,3.432e+06,1.821e+06,7.106e+04,5.324e+06
79.6,3.490e+06,1.708e+06,8.023e+04,5.278e+06
81.1,3.237e+06,1.437e+06,8.130e+04,4.756e+06
82.7,2.824e+06,1.156e+06,7.844e+04,4.058e+06
84.2,2.615e+06,1.048e+06,7.645e+04,3.739e+06
85.7,2.489e+06,9.844e+05,7.022e+04,3.543e+06
87.3,2.351e+06,9.257e+05,6.115e+04,3.338e+06
88.8,2.048e+06,8.048e+05,5.186e+04,2.904e+06
90.3,1.807e+06,7.070e+05,4.719e+04,2.561e+06
91.9,1.651e+06,6.250e+05,4.493e+04,2.321e+06
93.4,1.447e+06,5.217e+05,3.819e+04,2.007e+06
94.9,1.235e+06,4.258e+05,2.849e+04,1.689e+06
96.5,1.059e+06,3.667e+05,1.975e+04,1.445e+06
